S,R,O
stick,at location,forest
park structure,at location,city
cabinet,at location,kitchen
water,at location,drain
apple tree,at location,countryside
sloth,at location,rain forest
rosebush,at location,flower garden
door,at location,wall
bread,at location,store
scale,at location,post office
anemone,at location,tide pool
ferret,at location,petstore
outfield,at location,baseball field
show,at location,theatre
plane ticket,at location,pocket
chinese restaurant,at location,city
shop basket,at location,grocery store
heifer,at location,dairy farm
airplane seat,at location,airplane
castle,at location,europe
ice,has property,solid
water,has property,transparent
sex,used for,make baby
person,has property,stupid
up,defined as,opposite of down
run,causes,sweat
bone,receives action,break
person,not capable of,breath under water
game,receives action,play
piano,is a,percussion instrument
run,has prequisite,leg
tree,capable of,fall
bus,used for,travel
water,capable of,freeze
human,is a,primate
earth,part of,solar system
house,made of,wood
computer chip,made of,silicon
dirt,at location,grind
hello,is a,greet
imac,is a,computer
restaurant table,at location,restaurant
pain,is a,sensation
buy food,motivated by goal,you be hungry
pilot,at location,airplane
animal,desires,reproduce
sky,used for,fly kite
boot,is a,shoe
pot,at location,kitchen
see,used for,saw
irish setter,is a,dog
chef,capable of,cook
steer wheel,part of,automobile
toenail,part of,toe
shovel,used for,dig
pencil,used for,take note
carnation,is a,flower
mouth,used for,eat
menu,used for,order food
wheat,is a,grain
skate,causes,fall
piano,is a,musical instrument
snake,is a,reptile
cello,is a,musical instrument
doctor,capable of,prescribe medicine
sleep,has subevent,close your eye
elephant,has property,big
glass,has property,fragile
paper cup,made of,paper
noodle,made of,flour
button,part of,mouse
chicken,has property,delicious
paper,has property,thin
drink alcohol,causes,get drunk
house,is a,build
knife,is a,weapon
cd,has property,round
violet,is a,flower
book,at location,at bookstore
moon,is a,satellite
orange,is a,fruit
tangerine,is a,fruit
birthday,has subevent,get present
knife,used for,eat
work,causes,earn money
bed,has property,soft
refrigerator,at location,kitchen
desk,made of,steel
computer,at location,room
eat,has subevent,use chopstick
student,not desires,study
computer,used for,write
cabbage,is a,vegetable
germany,part of,europe
chair,at location,table
thirst,causes desire,drink
bird,is a,animal
snack,is a,food
chocolate,has property,delicious
keyboard,related to,mouse
painter,capable of,paint wall
tree,at location,garden
brother,part of,family
beer,is a,alcohol
liver,is a,organ
water,is a,beverage
paper,has property,light
criminal,at location,prison
timpani,is a,percussion instrument
sofa,related to,book
ocean,made of,water
branch,part of,tree
rocket,is a,machine
judaism,is a,religion
pen,used for,write letter
cook meal,motivated by goal,eat
roast chicken,made of,chicken
cat,capable of,cry
table,used for,eat meal
shave ice with syrup,made of,ice
pluto,is a,planet
christmas,is a,holiday
iraq,is a,country
tea,is a,beverage
oriole,is a,bird
heroin,is a,drug
toyota,is a,company
frog,is a,animal
lizard,is a,animal
puffin,is a,bird
lizard,is a,reptile
india,is a,country
toad,is a,amphibian
portugal,is a,country
spain,is a,country
germany,is a,country
empire state build,at location,new york city
hare,is a,mammal
seoul,is a,city
rabbit,is a,animal
dive,is a,sport
belgium,is a,country
zebra,is a,animal
cat,is a,mammal
ape,is a,animal
goat,is a,mammal
cuckoo,is a,bird
duck,is a,bird
chicken,is a,bird
fortran,is a,program language
love,causes,have sex
lens,part of,eye
listen music,used for,relax
sex,causes,pregnancy
sex,causes,burn calorie
mind,used for,think
brain,at location,skull
musician,capable of,play violin
urine,at location,toilet
cat,desires,milk to drink
tree,part of,forest
horse,has property,beautiful
picture,is a,thousand word
men and woman clothe,has property,different
bicycle,has property,human power
ear,is a,organ
most basketball,has property,orange
earth,has property,cover with water
sushi,is a,delicious japanese food
animal,has a,feel too
pig,has property,pink
cat,desires,eat plant
bride,capable of,wear white
submarine,capable of,travel underwater
doctor,capable of,wear white lab coat
dog,desires,chew on thing
safety pin,has property,sharp
eagle,is a,large bird
yo-yo,has property,fun to play with
skyscraper,defined as,tall build
submarine,capable of,go underwater
sharp thing,capable of,hurt you
cup,used for,hold water
space,has property,very cold
smoke,has property,dangerous
boot,receives action,wear by cowboy
tobacco,is a,plant
meditation,has property,relax
library,is a,collection of book
fortune cookie,has a,message
dart,receives action,throw at dartboard
baby,desires,suck on pacifier
wine,has a,alcohol in it
cow,desires,eat grass
mountain,has property,beautiful
apple juice,is a,drink
this,is a,basketball
this,is a,globe
this,is a,piggy bank
man,is a,write
dog,desires,bury bone
cigarette smoke,has property,bad for you
this,is a,blue umbrella
this,is a,yellow ribbon
bob dylan,is a,folk singer
school,at location,any town
doctor,has property,well respect
oil,at location,grind
plant,capable of,grow in garden
oven,used for,bake cookie
cat,at location,floor
work,at location,art in museum
sex,has property,nice
flirt,motivated by goal,have sex
improve yourself,has subevent,meditate
this,is a,house
tool,at location,repair shop
jump rope,has prequisite,find rope
some house,receives action,make out of brick
time,not capable of,stop
person,capable of,dance to music
buy product,has prequisite,money
person,capable of,smoke cigar
vase,at location,table
12 month,at location,year
love,causes desire,fee your family
batter,capable of,strike out
freeway,at location,america
sailor,capable of,captain ship
table,used for,eat off of
sit on chair,has prequisite,find chair
miser,capable of,count money
concierge,at location,hotel
stair up,used for,climb
cat,desires,play with string
chicken,has a,feather
magazine,has a,article
kangaroo,capable of,jump high
ride bicycle,used for,excercise
file,at location,file cabinet
learn,causes,gain knowledge
run in marathon,causes,dehydration
water,has property,boil
jack,is a,lift device
candy,has property,sweet
backgammon,is a,game of strategy
polo,is a,sport
wood,receives action,carve
orange juice,has a,vitamin c
gas,is a,state of matter
barn,used for,keep animal
notebook,at location,backpack
game,is a,activity
clothe closet,used for,hang your clothe
cube,has a,six side
awake,has prequisite,sleep
play piano,has prequisite,learn to play piano
bat,capable of,strike ball
dog,capable of,mother puppy
satelite,at location,orbit
watch film,causes,cry
walk,has prequisite,put your shoe on
attend meet,has prequisite,go to meet
dog,has property,faithful to their owner
sun,capable of,dry laundry
test tube,at location,laboratory
use television,has prequisite,have electricity
penny,at location,your pocket
intern,at location,desk
love someone else,has subevent,have sex with them
learn about subject,has prequisite,read book about it
doctor,capable of,doctor patient
cloud,capable of,rain water
game of chance,at location,carnival
math,is a,subject in school
tombstone,at location,cemetery
ostrich,not capable of,fly
piano,has a,88 key
diamond,has property,expensive
person,capable of,live in house
block,at location,flat in city
fold chair,used for,sit
some person,has property,mean
table,used for,eat at
live,has prequisite,breathe
puppy,defined as,baby dog
buy fresh fruit and vegetable,has prequisite,go to grocery store
room,at location,apartment
broom,used for,sweep floor
animal,not capable of,talk
be in hurry,causes desire,eat quickly
milk,has property,white
earth,used for,live on
hot dog,is a,often
package,at location,mail
lip,at location,face
cut your hair,has prequisite,go to barber shop
circle,is a,shape
dog,capable of,guide blind
wash your car,has prequisite,have car
two,is a,number
butter,at location,fridge
this,is a,cheese
get onto web,has prequisite,get computer
many variety,at location,corn
walk,is a,exercise
cinema,used for,watch film
dentist,capable of,fix your tooth
drive car,has subevent,accident
listen,motivated by goal,learn
someone,at location,bowl alley
street sign,at location,street corner
rook,used for,play chess
card catalogue,at location,library
something you find underwater,is a,fish
blue,is a,primary color
light,is a,energy
animal,capable of,move
trophy,symbol of,victory
giraffe,has a,long neck
calendar,at location,desk
farm,at location,countryside
fruit,has property,good for your health
pub,used for,drink alcohol
have sex,capable of,lead to more kid
fountain pen,used for,write on paper
husband,capable of,kiss his wife
lightbulb,receives action,invent by thomas edison
buy something,has prequisite,go to store
person,capable of,race car
school,has property,bore
find lose item,has prequisite,search for lose item
get wet,causes,cold
read newspaper,has prequisite,find newspaper
movie,has property,entertain
this,is a,comb
see story,has prequisite,go to movie
mouth,used for,talk
get some physical activity,used for,exercise
water freeze,has subevent,it become ice
pen,at location,backpack
examination table,at location,doctor
mouth,has a,lip
icebox,at location,kitchen
alcoholic,capable of,bottom out
worshipper,at location,church
helium balloon,used for,decorate for party
peach,has a,pit
brass instrument,used for,make music
